cycle,state,state_name,district,election_date,redistricting_era,cook_pvi,competitive,dem_name,rep_name,dem_incumbent,rep_incumbent,dem_previous_vote_share,rep_previous_vote_share,dem_fundraising_usd,rep_fundraising_usd,dem_vote_share,rep_vote_share,turnout,winner_party,partisan_lean,incumbency_advantage,economic_index,demographic_turnout_index,historical_turnout_rate,registered_voters,pollster,poll_sample_size,poll_population,poll_sponsor_class,poll_methodology,dem_poll_pct,rep_poll_pct,race_id,dem_option_id,rep_option_id,incumbent_party,previous_dem_share,previous_rep_share,polling_dem_share_base
2014,AK,Alaska,AK-01,2014-11-04,2012_2020,-3.64,False,DEM nominee AK-01 2014,REP nominee AK-01 2014,False,True,0.3444,0.6556,419451,163118,0.3686,0.6314,224579,REP,-3.64,4.0,-0.2,-0.518,0.4,616215,District Panel Polling,400,lv,nonpartisan,mixed,35.77,64.23,US-HOUSE-AK-01-2014,US-HOUSE-AK-01-2014-D,US-HOUSE-AK-01-2014-R,REP,0.3444,0.6556,0.3577
2014,AL,Alabama,AL-01,2014-11-04,2012_2020,-13.36,False,DEM nominee AL-01 2014,REP nominee AL-01 2014,False,True,0.2908,0.7092,479518,651709,0.2871,0.7129,263055,REP,-13.36,4.0,-0.2,-1.0262,0.4,599488,District Panel Polling,400,lv,nonpartisan,mixed,26.1,73.9,US-HOUSE-AL-01-2014,US-HOUSE-AL-01-2014-D,US-HOUSE-AL-01-2014-R,REP,0.2908,0.7092,0.261
2014,AL,Alabama,AL-02,2014-11-04,2012_2020,-11.59,False,DEM nominee AL-02 2014,REP nominee AL-02 2014,False,True,0.254,0.746,722398,267804,0.2813,0.7187,252766,REP,-11.59,4.0,-0.2,1.6516,0.4,627146,District Panel Polling,400,lv,nonpartisan,mixed,27.36,72.64,US-HOUSE-AL-02-2014,US-HOUSE-AL-02-2014-D,US-HOUSE-AL-02-2014-R,REP,0.254,0.746,0.2736
2014,AL,Alabama,AL-03,2014-11-04,2012_2020,-30.58,False,DEM nominee AL-03 2014,REP nominee AL-03 2014,False,True,0.1061,0.8939,333164,250566,0.1106,0.8894,199348,REP,-30.58,4.0,-0.2,-0.3344,0.4,501879,District Panel Polling,400,lv,nonpartisan,mixed,10.11,89.89,US-HOUSE-AL-03-2014,US-HOUSE-AL-03-2014-D,US-HOUSE-AL-03-2014-R,REP,0.1061,0.8939,0.1011
2014,AL,Alabama,AL-04,2014-11-04,2012_2020,-10.38,False,DEM nominee AL-04 2014,REP nominee AL-04 2014,False,True,0.333,0.667,297599,453319,0.3149,0.6851,227670,REP,-10.38,4.0,-0.2,-1.5339,0.4,549179,District Panel Polling,400,lv,nonpartisan,mixed,34.96,65.04,US-HOUSE-AL-04-2014,US-HOUSE-AL-04-2014-D,US-HOUSE-AL-04-2014-R,REP,0.333,0.667,0.3496
2014,AL,Alabama,AL-05,2014-11-04,2012_2020,-28.53,False,DEM nominee AL-05 2014,REP nominee AL-05 2014,False,True,0.1107,0.8893,326839,349049,0.1234,0.8766,247011,REP,-28.53,4.0,-0.2,0.1599,0.4,619180,District Panel Polling,400,lv,nonpartisan,mixed,12.23,87.77,US-HOUSE-AL-05-2014,US-HOUSE-AL-05-2014-D,US-HOUSE-AL-05-2014-R,REP,0.1107,0.8893,0.1223
2014,AL,Alabama,AL-06,2014-11-04,2012_2020,-24.3,False,DEM nominee AL-06 2014,REP nominee AL-06 2014,False,True,0.1576,0.8424,626354,539614,0.1344,0.8656,172549,REP,-24.3,4.0,-0.2,-0.1471,0.4,473206,District Panel Polling,400,lv,nonpartisan,mixed,12.31,87.69,US-HOUSE-AL-06-2014,US-HOUSE-AL-06-2014-D,US-HOUSE-AL-06-2014-R,REP,0.1576,0.8424,0.1231
2014,AL,Alabama,AL-07,2014-11-04,2012_2020,-22.25,False,DEM nominee AL-07 2014,REP nominee AL-07 2014,False,True,0.1843,0.8157,237976,400059,0.1771,0.8229,221623,REP,-22.25,4.0,-0.2,0.0376,0.4,507533,District Panel Polling,400,lv,nonpartisan,mixed,19.5,80.5,US-HOUSE-AL-07-2014,US-HOUSE-AL-07-2014-D,US-HOUSE-AL-07-2014-R,REP,0.1843,0.8157,0.195
2014,AR,Arkansas,AR-01,2014-11-04,2012_2020,-16.59,False,DEM nominee AR-01 2014,REP nominee AR-01 2014,False,True,0.2641,0.7359,477049,569340,0.2523,0.7477,214678,REP,-16.59,4.0,-0.2,-1.3808,0.4,493393,District Panel Polling,400,lv,nonpartisan,mixed,25.11,74.89,US-HOUSE-AR-01-2014,US-HOUSE-AR-01-2014-D,US-HOUSE-AR-01-2014-R,REP,0.2641,0.7359,0.2511
2014,AR,Arkansas,AR-02,2014-11-04,2012_2020,-31.36,False,DEM nominee AR-02 2014,REP nominee AR-02 2014,False,True,0.1232,0.8768,392471,188433,0.1124,0.8876,249284,REP,-31.36,4.0,-0.2,-0.5485,0.4,627453,District Panel Polling,400,lv,nonpartisan,mixed,10.0,90.0,US-HOUSE-AR-02-2014,US-HOUSE-AR-02-2014-D,US-HOUSE-AR-02-2014-R,REP,0.1232,0.8768,0.1
