cycle,state,state_name,election_date,electoral_votes,dem_name,rep_name,dem_incumbent,rep_incumbent,dem_previous_vote_share,rep_previous_vote_share,dem_fundraising_usd,rep_fundraising_usd,dem_vote_share,rep_vote_share,turnout,winner_party,partisan_lean,incumbency_advantage,economic_index,demographic_turnout_index,historical_turnout_rate,registered_voters,pollster,poll_sample_size,poll_population,poll_sponsor_class,poll_methodology,dem_poll_pct,rep_poll_pct,race_id,dem_option_id,rep_option_id,incumbent_party,previous_dem_share,previous_rep_share,polling_dem_share_base
2000,AL,Alabama,2000-11-07,9,Democratic nominee,Republican nominee,true,false,0.462661,0.537339,248661925,257811115,0.423931,0.576069,1633784,REP,-8.5379,0.0,-0.4,-0.9335,0.78,2094595,State Panel Polling,925,lv,nonpartisan,mixed,46.5382,53.461800000000004,US-PRES-AL-2000,US-PRES-AL-2000-D,US-PRES-AL-2000-R,DEM,0.462661,0.537339,0.465382
2000,AK,Alaska,2000-11-07,3,Democratic nominee,Republican nominee,true,false,0.395715,0.604285,37502384,38882236,0.320631,0.679369,246402,REP,-15.2325,0.0,-0.4,-2.6071,0.78,315900,State Panel Polling,925,lv,nonpartisan,mixed,41.0486,58.9514,US-PRES-AK-2000,US-PRES-AK-2000-D,US-PRES-AK-2000-R,DEM,0.395715,0.604285,0.410486
2000,AZ,Arizona,2000-11-07,8,Democratic nominee,Republican nominee,true,false,0.512238,0.487762,223276335,231491495,0.467174,0.532826,1466993,REP,-3.5803,0.0,-0.4,0.3059,0.78,1880760,State Panel Polling,925,lv,nonpartisan,mixed,50.603500000000004,49.396499999999996,US-PRES-AZ-2000,US-PRES-AZ-2000-D,US-PRES-AZ-2000-R,DEM,0.512238,0.487762,0.506035
2000,AR,Arkansas,2000-11-07,6,Democratic nominee,Republican nominee,true,false,0.593528,0.406472,136326758,141342722,0.471993,0.528007,895708,REP,4.5488,0.0,-0.4,2.3382,0.78,1148344,State Panel Polling,925,lv,nonpartisan,mixed,57.2693,42.7307,US-PRES-AR-2000,US-PRES-AR-2000-D,US-PRES-AR-2000-R,DEM,0.593528,0.406472,0.572693
2000,CA,California,2000-11-07,54,Democratic nominee,Republican nominee,true,false,0.572163,0.427837,1587237790,1645638130,0.56203,0.43797,10428632,DEM,2.4122,0.0,-0.4,1.8041,0.78,13370041,State Panel Polling,925,lv,nonpartisan,mixed,55.517300000000006,44.482699999999994,US-PRES-CA-2000,US-PRES-CA-2000-D,US-PRES-CA-2000-R,DEM,0.572163,0.427837,0.555173
2000,CO,Colorado,2000-11-07,8,Democratic nominee,Republican nominee,true,false,0.492408,0.507592,246864595,255947655,0.455141,0.544859,1621975,REP,-5.5632,0.0,-0.4,-0.1898,0.78,2079455,State Panel Polling,925,lv,nonpartisan,mixed,48.977399999999996,51.022600000000004,US-PRES-CO-2000,US-PRES-CO-2000-D,US-PRES-CO-2000-R,DEM,0.492408,0.507592,0.489774
2000,CT,Connecticut,2000-11-07,8,Democratic nominee,Republican nominee,true,false,0.603635,0.396365,209595990,217307800,0.592557,0.407443,1377109,DEM,5.5595,0.0,-0.4,2.5909,0.78,1765524,State Panel Polling,925,lv,nonpartisan,mixed,58.098099999999995,41.901900000000005,US-PRES-CT-2000,US-PRES-CT-2000-D,US-PRES-CT-2000-R,DEM,0.603635,0.396365,0.580981
2000,DE,Delaware,2000-11-07,3,Democratic nominee,Republican nominee,true,false,0.586237,0.413763,48301583,50078777,0.567401,0.432599,317356,DEM,3.8196,0.0,-0.4,2.1559,0.78,406867,State Panel Polling,925,lv,nonpartisan,mixed,56.671400000000006,43.328599999999994,US-PRES-DE-2000,US-PRES-DE-2000-D,US-PRES-DE-2000-R,DEM,0.586237,0.413763,0.566714
2000,DC,District of Columbia,2000-11-07,3,Democratic nominee,Republican nominee,true,false,0.901235,0.098765,28917391,29981369,0.904877,0.095123,189996,DEM,35.3195,0.0,-0.4,10.0309,0.78,243585,State Panel Polling,925,lv,nonpartisan,mixed,82.5013,17.4987,US-PRES-DC-2000,US-PRES-DC-2000-D,US-PRES-DC-2000-R,DEM,0.901235,0.098765,0.825013
2000,FL,Florida,2000-11-07,25,Democratic nominee,Republican nominee,true,false,0.53155,0.46845,886571545,919191785,0.499954,0.500046,5825043,REP,-1.6491,0.0,-0.4,0.7887,0.78,7468004,State Panel Polling,925,lv,nonpartisan,mixed,52.1871,47.8129,US-PRES-FL-2000,US-PRES-FL-2000-D,US-PRES-FL-2000-R,DEM,0.53155,0.46845,0.521871
2000,GA,Georgia,2000-11-07,13,Democratic nominee,Republican nominee,true,false,0.493677,0.506323,385971590,400172910,0.440162,0.559838,2535950,REP,-5.4363,0.0,-0.4,-0.1581,0.78,3251218,State Panel Polling,925,lv,nonpartisan,mixed,49.0815,50.9185,US-PRES-GA-2000,US-PRES-GA-2000-D,US-PRES-GA-2000-R,DEM,0.493677,0.506323,0.490815
2000,HI,Hawaii,2000-11-07,4,Democratic nominee,Republican nominee,true,false,0.642762,0.357238,52224538,54146072,0.598273,0.401727,343131,DEM,9.4721,0.0,-0.4,3.569,0.78,439912,State Panel Polling,925,lv,nonpartisan,mixed,61.306400000000004,38.693599999999996,US-PRES-HI-2000,US-PRES-HI-2000-D,US-PRES-HI-2000-R,DEM,0.642762,0.357238,0.613064
2000,ID,Idaho,2000-11-07,4,Democratic nominee,Republican nominee,true,false,0.39201,0.60799,72382363,75045577,0.291515,0.708485,475574,REP,-15.6031,0.0,-0.4,-2.6998,0.78,609710,State Panel Polling,925,lv,nonpartisan,mixed,40.7448,59.255199999999995,US-PRES-ID-2000,US-PRES-ID-2000-D,US-PRES-ID-2000-R,DEM,0.39201,0.60799,0.407448
