cycle,state,state_name,election_date,senate_class,dem_name,rep_name,dem_incumbent,rep_incumbent,dem_previous_vote_share,rep_previous_vote_share,dem_fundraising_usd,rep_fundraising_usd,dem_vote_share,rep_vote_share,turnout,winner_party,partisan_lean,incumbency_advantage,economic_index,demographic_turnout_index,historical_turnout_rate,registered_voters,pollster,poll_sample_size,poll_population,poll_sponsor_class,poll_methodology,dem_poll_pct,rep_poll_pct,race_id,dem_option_id,rep_option_id,incumbent_party,previous_dem_share,previous_rep_share,polling_dem_share_base
2014,AK,Alaska,2014-11-04,II,DEM nominee AK 2014,REP nominee AK 2014,False,True,0.3712,0.6288,3961880,3664619,0.3558,0.6442,284062,REP,-9.0,3.5,-0.2,1.4347,0.45,580000,State Panel Polling,850,lv,nonpartisan,mixed,35.16,64.84,US-SEN-AK-2014,US-SEN-AK-2014-D,US-SEN-AK-2014-R,REP,0.3712,0.6288,0.3516
2014,AL,Alabama,2014-11-04,II,DEM nominee AL 2014,REP nominee AL 2014,False,True,0.3,0.7,4192344,2964422,0.3,0.7,1804428,REP,-15.0,3.5,-0.2,0.0167,0.45,3700000,State Panel Polling,850,lv,nonpartisan,mixed,31.42,68.58,US-SEN-AL-2014,US-SEN-AL-2014-D,US-SEN-AL-2014-R,REP,0.3,0.7,0.3142
2014,AR,Arkansas,2014-11-04,II,DEM nominee AR 2014,REP nominee AR 2014,False,True,0.3,0.7,3289745,3497136,0.3,0.7,893396,REP,-15.0,3.5,-0.2,-1.4872,0.45,1900000,State Panel Polling,850,lv,nonpartisan,mixed,31.53,68.47,US-SEN-AR-2014,US-SEN-AR-2014-D,US-SEN-AR-2014-R,REP,0.3,0.7,0.3153
2014,CO,Colorado,2014-11-04,II,DEM nominee CO 2014,REP nominee CO 2014,True,False,0.5037,0.4963,3449574,2721790,0.5184,0.4816,1941887,DEM,4.0,3.5,-0.2,0.8306,0.45,4000000,State Panel Polling,850,lv,nonpartisan,mixed,53.7,46.3,US-SEN-CO-2014,US-SEN-CO-2014-D,US-SEN-CO-2014-R,DEM,0.5037,0.4963,0.537
2014,DE,Delaware,2014-11-04,II,DEM nominee DE 2014,REP nominee DE 2014,True,False,0.5981,0.4019,3416122,3380691,0.6015,0.3985,373872,DEM,12.0,3.5,-0.2,-0.0544,0.45,800000,State Panel Polling,850,lv,nonpartisan,mixed,62.43,37.57,US-SEN-DE-2014,US-SEN-DE-2014-D,US-SEN-DE-2014-R,DEM,0.5981,0.4019,0.6243
2014,GA,Georgia,2014-11-04,II,DEM nominee GA 2014,REP nominee GA 2014,True,False,0.508,0.492,2827728,2944144,0.5013,0.4987,3073095,DEM,-1.0,3.5,-0.2,-1.9462,0.45,7500000,State Panel Polling,850,lv,nonpartisan,mixed,51.07,48.93,US-SEN-GA-2014,US-SEN-GA-2014-D,US-SEN-GA-2014-R,DEM,0.508,0.492,0.5107
2014,IA,Iowa,2014-11-04,II,DEM nominee IA 2014,REP nominee IA 2014,False,True,0.3422,0.6578,3772795,3086434,0.3708,0.6292,1082350,REP,-5.0,3.5,-0.2,-0.4973,0.45,2300000,State Panel Polling,850,lv,nonpartisan,mixed,38.87,61.13,US-SEN-IA-2014,US-SEN-IA-2014-D,US-SEN-IA-2014-R,REP,0.3422,0.6578,0.3887
2014,ID,Idaho,2014-11-04,II,DEM nominee ID 2014,REP nominee ID 2014,False,True,0.3,0.7,4813315,4344658,0.3,0.7,504699,REP,-19.0,3.5,-0.2,0.9375,0.45,1100000,State Panel Polling,850,lv,nonpartisan,mixed,30.0,70.0,US-SEN-ID-2014,US-SEN-ID-2014-D,US-SEN-ID-2014-R,REP,0.3,0.7,0.3
2014,IL,Illinois,2014-11-04,II,DEM nominee IL 2014,REP nominee IL 2014,True,False,0.5938,0.4062,3735050,2563405,0.5826,0.4174,3612518,DEM,9.0,3.5,-0.2,-1.4342,0.45,8500000,State Panel Polling,850,lv,nonpartisan,mixed,56.29,43.71,US-SEN-IL-2014,US-SEN-IL-2014-D,US-SEN-IL-2014-R,DEM,0.5938,0.4062,0.5629
2014,KS,Kansas,2014-11-04,II,DEM nominee KS 2014,REP nominee KS 2014,False,True,0.3631,0.6369,3486086,3282500,0.3429,0.6571,791080,REP,-10.0,3.5,-0.2,1.3622,0.45,1900000,State Panel Polling,850,lv,nonpartisan,mixed,34.08,65.92,US-SEN-KS-2014,US-SEN-KS-2014-D,US-SEN-KS-2014-R,REP,0.3631,0.6369,0.3408
2014,KY,Kentucky,2014-11-04,II,DEM nominee KY 2014,REP nominee KY 2014,False,True,0.3342,0.6658,4603065,3664924,0.3178,0.6822,1486817,REP,-16.0,3.5,-0.2,0.8571,0.45,3500000,State Panel Polling,850,lv,nonpartisan,mixed,30.0,70.0,US-SEN-KY-2014,US-SEN-KY-2014-D,US-SEN-KY-2014-R,REP,0.3342,0.6658,0.3
2014,LA,Louisiana,2014-11-04,II,DEM nominee LA 2014,REP nominee LA 2014,False,True,0.325,0.675,3552690,3477985,0.3435,0.6565,1427081,REP,-12.0,3.5,-0.2,0.522,0.45,3000000,State Panel Polling,850,lv,nonpartisan,mixed,36.47,63.53,US-SEN-LA-2014,US-SEN-LA-2014-D,US-SEN-LA-2014-R,REP,0.325,0.675,0.3647
2014,MA,Massachusetts,2014-11-04,II,DEM nominee MA 2014,REP nominee MA 2014,True,False,0.72,0.28,3396533,3266806,0.72,0.28,2048460,DEM,20.0,3.5,-0.2,-1.1564,0.45,4900000,State Panel Polling,850,lv,nonpartisan,mixed,72.0,28.0,US-SEN-MA-2014,US-SEN-MA-2014-D,US-SEN-MA-2014-R,DEM,0.72,0.28,0.72
2014,ME,Maine,2014-11-04,II,DEM nominee ME 2014,REP nominee ME 2014,False,True,0.4677,0.5323,3501720,2737942,0.4563,0.5437,479507,REP,5.0,3.5,-0.2,0.6849,0.45,1100000,State Panel Polling,850,lv,nonpartisan,mixed,45.45,54.55,US-SEN-ME-2014,US-SEN-ME-2014-D,US-SEN-ME-2014-R,REP,0.4677,0.5323,0.4545
2014,MI,Michigan,2014-11-04,II,DEM nominee MI 2014,REP nominee MI 2014,True,False,0.5077,0.4923,3088237,2905334,0.5189,0.4811,3410230,DEM,1.0,3.5,-0.2,-1.3246,0.45,7700000,State Panel Polling,850,lv,nonpartisan,mixed,50.69,49.31,US-SEN-MI-2014,US-SEN-MI-2014-D,US-SEN-MI-2014-R,DEM,0.5077,0.4923,0.5069
